arxiv_id	subtopic	title	published
1606.06565	alignment	Concrete Problems in AI Safety	2016-06-21
1606.03137	alignment	Cooperative Inverse Reinforcement Learning	2016-06-09
1611.08219	alignment	The Off-Switch Game	2016-11-24
1706.03741	alignment	Deep reinforcement learning from human preferences	2017-06-12
1711.02827	alignment	Inverse Reward Design	2017-11-08
1805.00899	alignment	AI safety via debate	2018-05-02
1811.07871	alignment	Scalable agent alignment via reward modeling: a research direction	2018-11-19
1906.01820	alignment	Risks from Learned Optimization in Advanced Machine Learning Systems	2019-06-05
1908.04734	alignment	Reward Tampering Problems and Solutions in Reinforcement Learning: A Causal Influence Diagram Perspective	2019-08-13
1912.01683	alignment	Optimal Policies Tend to Seek Power	2019-12-03
2009.01325	alignment	Learning to summarize from human feedback	2020-09-02
2105.14111	alignment	Goal Misgeneralization in Deep Reinforcement Learning	2021-05-28
2203.02155	alignment	Training language models to follow instructions with human feedback	2022-03-04
2204.05862	alignment	Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback	2022-04-12
2210.10760	alignment	Scaling Laws for Reward Model Overoptimization	2022-10-19
2211.03540	alignment	Measuring Progress on Scalable Oversight for Large Language Models	2022-11-04
2212.08073	alignment	Constitutional AI: Harmlessness from AI Feedback	2022-12-15
2312.09390	alignment	Weak-to-Strong Generalization: Eliciting Strong Capabilities With Weak Supervision	2023-12-14
2407.04622	alignment	On scalable oversight with weak LLMs judging strong LLMs	2024-07-05
2501.13124	alignment	Debate Helps Weak-to-Strong Generalization	2025-01-21
2212.03827	interpretability	Discovering Latent Knowledge in Language Models Without Supervision	2022-12-07
2305.04388	interpretability	Language Models Don't Always Say What They Think: Unfaithful Explanations in Chain-of-Thought Prompting	2023-05-07
2310.01405	interpretability	Representation Engineering: A Top-Down Approach to AI Transparency	2023-10-02
2311.09433	interpretability	Trojan Activation Attack: Red-Teaming Large Language Models using Activation Steering for Safety-Alignment	2023-11-15
2404.14082	interpretability	Mechanistic Interpretability for AI Safety -- A Review	2024-04-22
2406.05946	interpretability	Safety Alignment Should Be Made More Than Just a Few Tokens Deep	2024-06-10
2406.11717	interpretability	Refusal in Language Models Is Mediated by a Single Direction	2024-06-17
2406.12094	interpretability	Who's asking? User personas and the mechanics of latent misalignment	2024-06-17
2406.14144	interpretability	Towards Understanding Safety Alignment: A Mechanistic Perspective from Safety Neurons	2024-06-20
2407.10264	interpretability	What Makes and Breaks Safety Fine-tuning? A Mechanistic Study	2024-07-14
2408.11491	interpretability	SCANS: Mitigating the Exaggerated Safety for LLMs via Safety-Conscious Activation Steering	2024-08-21
2408.17003	interpretability	Safety Layers in Aligned Large Language Models: The Key to LLM Security	2024-08-30
2409.20089	interpretability	Robust LLM safeguarding via refusal feature adversarial training	2024-09-30
2410.10343	interpretability	Locking Down the Finetuned LLMs Safety	2024-10-14
2411.03343	interpretability	What Features in Prompts Jailbreak LLMs? Investigating the Mechanisms Behind Attacks	2024-11-02
2411.07122	interpretability	SCAR: Sparse Conditioned Autoencoders for Concept Detection and Steering in LLMs	2024-11-11
2411.11296	interpretability	Steering Language Model Refusal with Sparse Autoencoders	2024-11-18
2502.03407	interpretability	Detecting Strategic Deception Using Linear Probes	2025-02-05
2504.04215	interpretability	Towards Understanding and Improving Refusal in Compressed Models via Mechanistic Interpretability	2025-04-05
2506.04250	interpretability	SafeSteer: Interpretable Safety Steering with Refusal-Evasion in LLMs	2025-06-01
2009.11462	safety_evaluation_redteam	RealToxicityPrompts: Evaluating Neural Toxic Degeneration in Language Models	2020-09-24
2109.07958	safety_evaluation_redteam	TruthfulQA: Measuring How Models Mimic Human Falsehoods	2021-09-08
2109.07445	safety_evaluation_redteam	Challenges in Detoxifying Language Models	2021-09-15
2202.03286	safety_evaluation_redteam	Red Teaming Language Models with Language Models	2022-02-07
2209.07858	safety_evaluation_redteam	Red Teaming Language Models to Reduce Harms: Methods, Scaling Behaviors, and Lessons Learned	2022-08-23
2212.09251	safety_evaluation_redteam	Discovering Language Model Behaviors with Model-Written Evaluations	2022-12-19
2305.15324	safety_evaluation_redteam	Model evaluation for extreme risks	2023-05-24
2306.11698	safety_evaluation_redteam	DecodingTrust: A Comprehensive Assessment of Trustworthiness in GPT Models	2023-06-20
2307.02483	safety_evaluation_redteam	Jailbroken: How Does LLM Safety Training Fail?	2023-07-05
2307.15043	safety_evaluation_redteam	Universal and Transferable Adversarial Attacks on Aligned Language Models	2023-07-27
2308.01263	safety_evaluation_redteam	XSTest: A Test Suite for Identifying Exaggerated Safety Behaviours in Large Language Models	2023-08-02
2308.13387	safety_evaluation_redteam	Do-Not-Answer: A Dataset for Evaluating Safeguards in LLMs	2023-08-25
2309.07045	safety_evaluation_redteam	SafetyBench: Evaluating the Safety of Large Language Models	2023-09-13
2310.08419	safety_evaluation_redteam	Jailbreaking Black Box Large Language Models in Twenty Queries	2023-10-12
2311.17600	safety_evaluation_redteam	MM-SafetyBench: A Benchmark for Safety Evaluation of Multimodal Large Language Models	2023-11-29
2402.04249	safety_evaluation_redteam	HarmBench: A Standardized Evaluation Framework for Automated Red Teaming and Robust Refusal	2024-02-06
2402.05044	safety_evaluation_redteam	SALAD-Bench: A Hierarchical and Comprehensive Safety Benchmark for Large Language Models	2024-02-07
2402.10260	safety_evaluation_redteam	A StrongREJECT for Empty Jailbreaks	2024-02-15
2404.01318	safety_evaluation_redteam	JailbreakBench: An Open Robustness Benchmark for Jailbreaking Large Language Models	2024-03-28
2503.15754	safety_evaluation_redteam	AutoRedTeamer: Autonomous Red Teaming with Lifelong Attack Integration	2025-03-20
1802.07228	governance_policy	The Malicious Use of Artificial Intelligence: Forecasting, Prevention, and Mitigation	2018-02-20
2107.03721	governance_policy	Demystifying the Draft EU Artificial Intelligence Act	2021-07-08
2202.02776	governance_policy	Human rights, democracy, and the rule of law assurance framework for AI systems: A proposal	2022-02-06
2212.03109	governance_policy	Risk management in the Artificial Intelligence Act	2022-12-03
2304.04914	governance_policy	Regulatory Markets: The Future of AI Governance	2023-04-11
2307.03718	governance_policy	Frontier AI Regulation: Managing Emerging Risks to Public Safety	2023-07-06
2310.13625	governance_policy	Oversight for Frontier AI through a Know-Your-Customer Scheme for Compute Providers	2023-10-20
2401.15229	governance_policy	Evolving AI Risk Management: A Maturity Model based on the NIST AI Risk Management Framework	2024-01-26
2402.08797	governance_policy	Computing Power and the Governance of Artificial Intelligence	2024-02-13
2403.08501	governance_policy	Governing Through the Cloud: The Intermediary Role of Compute Providers in AI Regulation	2024-03-13
2403.15646	governance_policy	Application of the NIST AI Risk Management Framework to Surveillance Technology	2024-03-22
2404.18308	governance_policy	Near-Term Enforcement of AI Chip Export Controls Using A Firmware-Based Design for Offline Licensing	2024-04-28
2406.15371	governance_policy	Affirmative safety: An approach to risk management for high-risk AI	2024-04-14
2408.11820	governance_policy	Responsible AI Question Bank: A Comprehensive Tool for AI Risk Assessment	2024-08-02
2410.09645	governance_policy	AI Model Registries: A Foundational Tool for AI Governance	2024-10-12
2504.11501	governance_policy	A Framework for the Private Governance of Frontier Artificial Intelligence	2025-04-15
2505.23417	governance_policy	Toward Effective AI Governance: A Review of Principles	2025-05-29
2506.23949	governance_policy	AI Risk-Management Standards Profile for General-Purpose AI (GPAI) and Foundation Models	2025-06-30
2507.03050	governance_policy	From Turing to Tomorrow: The UK's Approach to AI Regulation	2025-07-03
2507.06379	governance_policy	Domestic frontier AI regulation, an IAEA for AI, an NPT for AI, and a US-led Allied Public-Private Partnership for AI: Four institutions for governing and developing frontier AI	2025-07-08
1808.07261	assurance_transparency	FactSheets: Increasing Trust in AI Services through Supplier's Declarations of Conformity	2018-08-22
1810.03993	assurance_transparency	Model Cards for Model Reporting	2018-10-05
2001.00973	assurance_transparency	Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algorithmic Auditing	2020-01-03
2004.07213	assurance_transparency	Toward Trustworthy AI Development: Mechanisms for Supporting Verifiable Claims	2020-04-15
2011.08512	assurance_transparency	Preventing Repeated Real World AI Failures by Cataloging Incidents: The AI Incident Database	2020-11-17
2206.07635	assurance_transparency	AI Ethics Issues in Real World: Evidence from AI Incident Database	2022-06-15
